"year","periodName","cpi rate","unemployment rate","federal funds rate","MonthYear"
"1998","April","0.863",4.3,"5.45",Apr 1998
"1998","August","0.869",4.5,"5.55",Aug 1998
"1998","December","0.866",4.4,"4.68",Dec 1998
"1998","February","0.860",4.6,"5.51",Feb 1998
"1998","January","0.855",4.6,"5.56",Jan 1998
"1998","July","0.867",4.5,"5.54",Jul 1998
"1998","June","0.859",4.5,"5.56",Jun 1998
"1998","March","0.853",4.7,"5.49",Mar 1998
"1998","May","0.866",4.4,"5.49",May 1998
"1998","November","0.855",4.4,"4.83",Nov 1998
"1998","October","0.849",4.5,"5.07",Oct 1998
"1998","September","0.860",4.6,"5.51",Sep 1998
"1999","April","0.897",4.3,"4.74",Apr 1999
"1999","August","0.884",4.2,"5.07",Aug 1999
"1999","December","0.899",4,"5.30",Dec 1999
"1999","February","0.880",4.4,"4.76",Feb 1999
"1999","January","0.872",4.3,"4.63",Jan 1999
"1999","July","0.893",4.3,"4.99",Jul 1999
"1999","June","0.885",4.3,"4.76",Jun 1999
"1999","March","0.883",4.2,"4.81",Mar 1999
"1999","May","0.886",4.2,"4.74",May 1999
"1999","November","0.899",4.1,"5.42",Nov 1999
"1999","October","0.889",4.1,"5.20",Oct 1999
"1999","September","0.878",4.2,"5.22",Sep 1999
"2000","April","0.927",3.8,"6.02",Apr 2000
"2000","August","0.923",4.1,"6.50",Aug 2000
"2000","December","0.987",3.9,"6.40",Dec 2000
"2000","February","0.924",4.1,"5.73",Feb 2000
"2000","January","0.907",4,"5.45",Jan 2000
"2000","July","0.935",4,"6.54",Jul 2000
"2000","June","0.915",4,"6.53",Jun 2000
"2000","March","0.924",4,"5.85",Mar 2000
"2000","May","0.915",4,"6.27",May 2000
"2000","November","0.953",3.9,"6.51",Nov 2000
"2000","October","0.934",3.9,"6.51",Oct 2000
"2000","September","0.918",3.9,"6.52",Sep 2000
"2001","April","1.008",4.4,"4.8",Apr 2001
"2001","August","0.991",4.9,"3.65",Aug 2001
"2001","December","1.005",5.7,"1.82",Dec 2001
"2001","February","0.994",4.2,"5.49",Feb 2001
"2001","January","0.982",4.2,"5.98",Jan 2001
"2001","July","0.987",4.6,"3.77",Jul 2001
"2001","June","0.989",4.5,"3.97",Jun 2001
"2001","March","1.020",4.3,"5.31",Mar 2001
"2001","May","0.995",4.3,"4.21",May 2001
"2001","November","1.012",5.5,"2.09",Nov 2001
"2001","October","1.010",5.3,"2.49",Oct 2001
"2001","September","0.996",5,"3.07",Sep 2001
"2002","April","1.005",5.9,"1.75",Apr 2002
"2002","August","1.012",5.7,"1.74",Aug 2002
"2002","December","1.026",6,"1.24",Dec 2002
"2002","February","1.008",5.7,"1.74",Feb 2002
"2002","January","1.001",5.7,"1.73",Jan 2002
"2002","July","1.015",5.8,"1.73",Jul 2002
"2002","June","1.011",5.8,"1.75",Jun 2002
"2002","March","1.012",5.7,"1.73",Mar 2002
"2002","May","1.012",5.8,"1.75",May 2002
"2002","November","1.054",5.9,"1.34",Nov 2002
"2002","October","1.015",5.7,"1.75",Oct 2002
"2002","September","1.016",5.7,"1.75",Sep 2002
"2003","April","1.047",6,"1.26",Apr 2003
"2003","August","0.996",6.1,"1.03",Aug 2003
"2003","December","0.954",5.7,"0.98",Dec 2003
"2003","February","1.048",5.9,"1.26",Feb 2003
"2003","January","1.042",5.8,"1.24",Jan 2003
"2003","July","1.002",6.2,"1.01",Jul 2003
"2003","June","0.961",6.3,"1.22",Jun 2003
"2003","March","1.042",5.9,"1.25",Mar 2003
"2003","May","1.001",6.1,"1.26",May 2003
"2003","November","0.953",5.8,"1.00",Nov 2003
"2003","October","0.969",6,"1.01",Oct 2003
"2003","September","0.994",6.1,"1.01",Sep 2003
"2004","April","0.974",5.6,"1.00",Apr 2004
"2004","August","0.996",5.4,"1.43",Aug 2004
"2004","December","0.970",5.4,"2.16",Dec 2004
"2004","February","0.943",5.6,"1.01",Feb 2004
"2004","January","0.946",5.7,"1.00",Jan 2004
"2004","July","0.985",5.5,"1.26",Jul 2004
"2004","June","0.979",5.6,"1.03",Jun 2004
"2004","March","0.947",5.8,"1.00",Mar 2004
"2004","May","0.960",5.6,"1.00",May 2004
"2004","November","0.976",5.4,"1.93",Nov 2004
"2004","October","0.972",5.5,"1.76",Oct 2004
"2004","September","0.985",5.4,"1.61",Sep 2004
"2005","April","1.004",5.2,"2.79",Apr 2005
"2005","August","1.060",4.9,"3.50",Aug 2005
"2005","December","1.046",4.9,"4.16",Dec 2005
