Asset,Ticker,Type,Subtype,Date,Price,Units,Amount
Apple Inc.,AAPL,Equity,Technology,12-Sep-23,$176.30 ,648,"$114,242 "
Amazon.com Inc.,AMZN,Equity,E-commerce,12-Sep-23,$142.32 ,"1,000","$142,320 "
Microsoft Corporation,MSFT,Equity,Technology,12-Sep-23,$331.77 ,500,"$165,885 "
Alphabet Inc.,GOOGL,Equity,Technology,12-Sep-23,$135.19 ,800,"$108,152 "
META,META,Equity,Technology,12-Sep-23,$324.40 ,500,"$162,200 "
"Tesla, Inc.",TSLA,Equity,Automotive,12-Sep-23,$250.10 ,"1,599","$399,910 "
NVIDIA Corporation,NVDA,Equity,Technology,12-Sep-23,$447.38 ,850,"$380,273 "
Advanced Micro Devices,AMD,Equity,Technology,12-Sep-23,$104.20 ,"1,208","$125,874 "
JPMorgan Chase & Co.,JPM,Equity,Financial Services,12-Sep-23,$146.34 ,995,"$145,608 "
Johnson & Johnson,JNJ,Equity,Healthcare,12-Sep-23,$163.93 ,886,"$145,242 "
Visa Inc.,V,Equity,Financial Services,12-Sep-23,$247.30 ,588,"$145,412 "
Procter & Gamble Company,PG,Equity,Consumer Goods,12-Sep-23,$155.15 ,938,"$145,531 "
Johnson Controls International plc,JCI,Equity,Industrial,12-Sep-23,$56.66 ,"1,577","$89,353 "
General Electric Company,GE,Equity,Industrial,12-Sep-23,$114.00 ,"1,279","$145,806 "
Coca-Cola Company,KO,Equity,Consumer Goods,12-Sep-23,$57.84 ,"1,521","$87,975 "
Verizon Communications Inc.,VZ,Equity,Telecommunications,12-Sep-23,$34.18 ,"4,262","$145,675 "
Boeing Co.,BA,Equity,Industrial,12-Sep-23,$210.65 ,690,"$145,349 "
AT&T Inc.,T,Equity,Telecommunications,12-Sep-23,$14.19 ,"1,025","$14,545 "
Pfizer Inc.,PFE,Equity,Healthcare,12-Sep-23,$34.15 ,"1,025","$35,004 "
"Netflix, Inc.",NFLX,Equity,Entertainment,12-Sep-23,$434.69 ,335,"$145,621 "
Alibaba Group Holding Limited,BABA,Equity,E-commerce,12-Sep-23,$88.19 ,"1,650","$145,514 "
Intel Corporation,INTC,Equity,Technology,12-Sep-23,$38.65 ,"1,770","$68,411 "
Walt Disney Company,DIS,Equity,Entertainment,12-Sep-23,$84.67 ,"1,720","$145,632 "
Exxon Mobil Corporation,XOM,Equity,Energy,12-Sep-23,$115.34 ,"1,262","$145,559 "
Ford Motor Company,F,Equity,utomotive,12-Sep-23,$12.23 ,"1,209","$14,786 "
"Goldman Sachs Group, Inc.",GS,Equity,Financial Services,12-Sep-23,$324.01 ,450,"$145,805 "
"Home Depot, Inc.",HD,Equity,Retail,12-Sep-23,$326.83 ,445,"$145,439 "
IBM (International Business Machines Corporation),IBM,Equity,Technology,12-Sep-23,$146.30 ,995,"$145,569 "
Starbucks Corporation,SBUX,Equity,Consumer Goods,12-Sep-23,$95.50 ,527,"$50,329 "
"Cisco Systems, Inc.",CSCO,Equity,Technology,12-Sep-23,$56.65 ,582,"$32,970 "
iShares iBoxx $ Investment Grade Corporate Bond ETF,LQD,Bond,Investment Grade Corporate Bonds,12-Sep-23,$104.53 ,"1,480","$154,704 "
iShares iBoxx $ High Yield Corporate Bond ETF,HYG,Bond,High Yield Corporate Bonds,12-Sep-23,$74.56 ,"2,076","$154,787 "
iShares 7-10 Year Treasury Bond ETF,IEF,Bond,Intermediate-Term Treasury Bond ETF,12-Sep-23,$93.24 ,"1,660","$154,778 "
Vanguard Total Bond Market ETF,BND,Bond,Total Bond Market,12-Sep-23,$70.93 ,"2,182","$154,769 "
iShares 1-3 Year Treasury Bond ETF,SHY,Bond,Short-Term Treasury Bond ETF,12-Sep-23,$80.91 ,"1,910","$154,538 "
Vanguard Short-Term Corporate Bond ETF,VCSH,Bond,Short-Term Corporate Bond ETF,12-Sep-23,$75.35 ,"2,060","$155,221 "
Invesco Senior Loan ETF,BKLN,Bond,Senior Loan ETF,12-Sep-23,$21.20 ,"7,312","$155,014 "
iShares TIPS Bond ETF,TIP,Bond,Treasury Inflation-Protected Securities (TIPS) Bond ETF,12-Sep-23,$105.38 ,"1,469","$154,803 "
Schwab U.S. TIPS ETF,SCHP,Bond,Treasury Inflation-Protected Securities (TIPS) Bond ETF,12-Sep-23,$51.31 ,"3,014","$154,648 "
iShares 20+ Year Treasury Bond ETF,TLT,Bond,Long-Term Treasury Bond ETF,12-Sep-23,$93.89 ,"1,653","$155,200 "
Cash (Min 620k),Cash,Cash,Cash,12-Sep-23,,,"$621,547 "
Total Bonds (Max 1.56mil),Total Bonds,Total Bonds,,,,,"$1,548,464 "
Total Equities(Max 4.03mil),Total Equities,Total Equities,,,,,"$4,029,989 "
Total Portfolio(Max 6.2mil),Total Portfolio,Total Portfolio,,,,,"$6,200,000 "
